config_id,replicate_id,E,C,S,delta,seasons,max_years_between_conf_finals,franchises_never_reached_cf,manipulation_gain_pct,manipulation_gain_bound,manipulation_gain_regime,per_series_cost_typical,per_series_cost_playin,rank_one_to_five_spread,expected_pick_worst,expected_pick_fifth_worst
0,1029,14,null,single-season,1000,30,24,0,28.571428571428573,1.2857142857142858,uncapped,,,3.2333333333333334,4.7,7.933333333333334
1,1000,14,null,unbounded,1000,30,24,0,28.571428571428573,1.2857142857142858,uncapped,,,2.1000000000000005,4.833333333333333,6.933333333333334
1,1001,14,null,unbounded,1000,30,23,0,28.571428571428573,1.2857142857142858,uncapped,,,2.0999999999999996,4.4,6.5
1,1002,14,null,unbounded,1000,30,21,0,28.571428571428573,1.2857142857142858,uncapped,,,2.8666666666666663,4.4,7.266666666666667
1,1003,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,1.5333333333333332,4.666666666666667,6.2
1,1004,14,null,unbounded,1000,30,24,0,28.571428571428573,1.2857142857142858,uncapped,,,2.8000000000000007,4.6,7.4
1,1005,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.1333333333333337,4.533333333333333,6.666666666666667
1,1006,14,null,unbounded,1000,30,27,0,28.571428571428573,1.2857142857142858,uncapped,,,2.0666666666666664,4.9,6.966666666666667
1,1007,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.533333333333334,4.366666666666666,6.9
1,1008,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,1.666666666666667,4.833333333333333,6.5
1,1009,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.166666666666666,4.166666666666667,7.333333333333333
1,1010,14,null,unbounded,1000,30,29,0,28.571428571428573,1.2857142857142858,uncapped,,,3.166666666666667,4.6,7.766666666666667
1,1011,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.1999999999999993,4.633333333333334,7.833333333333333
1,1012,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.7,4.566666666666666,7.266666666666667
1,1013,14,null,unbounded,1000,30,25,0,28.571428571428573,1.2857142857142858,uncapped,,,2.3,4.2,6.5
1,1014,14,null,unbounded,1000,30,27,0,28.571428571428573,1.2857142857142858,uncapped,,,1.8666666666666671,4.8,6.666666666666667
1,1015,14,null,unbounded,1000,30,25,0,28.571428571428573,1.2857142857142858,uncapped,,,2.8,4.566666666666666,7.366666666666666
1,1016,14,null,unbounded,1000,30,25,0,28.571428571428573,1.2857142857142858,uncapped,,,3.033333333333333,4.233333333333333,7.266666666666667
1,1017,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.0666666666666673,4.366666666666666,6.433333333333334
1,1018,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.866666666666667,4.333333333333333,7.2
1,1019,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.5666666666666664,4.5,7.066666666666666
1,1020,14,null,unbounded,1000,30,29,0,28.571428571428573,1.2857142857142858,uncapped,,,1.8000000000000007,4.366666666666666,6.166666666666667
1,1021,14,null,unbounded,1000,30,22,0,28.571428571428573,1.2857142857142858,uncapped,,,2.0999999999999996,4.666666666666667,6.766666666666667
1,1022,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,2.666666666666666,4.633333333333334,7.3
1,1023,14,null,unbounded,1000,30,24,0,28.571428571428573,1.2857142857142858,uncapped,,,2.0666666666666664,4.533333333333333,6.6
1,1024,14,null,unbounded,1000,30,26,0,28.571428571428573,1.2857142857142858,uncapped,,,2.366666666666667,4.566666666666666,6.933333333333334
1,1025,14,null,unbounded,1000,30,27,0,28.571428571428573,1.2857142857142858,uncapped,,,3,4.333333333333333,7.333333333333333
1,1026,14,null,unbounded,1000,30,30,1,28.571428571428573,1.2857142857142858,uncapped,,,3.0666666666666664,4.433333333333334,7.5
1,1027,14,null,unbounded,1000,30,30,2,28.571428571428573,1.2857142857142858,uncapped,,,1.7999999999999998,4.766666666666667,6.566666666666666
1,1028,14,null,unbounded,1000,30,30,2,28.571428571428573,1.2857142857142858,uncapped,,,1.4333333333333336,4.833333333333333,6.266666666666667
1,1029,14,null,unbounded,1000,30,20,0,28.571428571428573,1.2857142857142858,uncapped,,,2.2333333333333334,4.433333333333334,6.666666666666667
11,1000,14,150,reset-on-championship,1000,30,26,0,2.142857142857143,1.0214285714285714,capped,30,45,2.4000000000000004,4.233333333333333,6.633333333333334
11,1001,14,150,reset-on-championship,1000,30,24,0,2.142857142857143,1.0214285714285714,capped,30,45,2.5,4.633333333333334,7.133333333333334
11,1002,14,150,reset-on-championship,1000,30,28,0,2.142857142857143,1.0214285714285714,capped,30,45,2.3,4.766666666666667,7.066666666666666
11,1003,14,150,reset-on-championship,1000,30,26,0,2.142857142857143,1.0214285714285714,capped,30,45,2.5,4.4,6.9
11,1004,14,150,reset-on-championship,1000,30,29,0,2.142857142857143,1.0214285714285714,capped,30,45,2.5666666666666673,4.866666666666666,7.433333333333334
11,1005,14,150,reset-on-championship,1000,30,27,0,2.142857142857143,1.0214285714285714,capped,30,45,2.4333333333333336,4.6,7.033333333333333
11,1006,14,150,reset-on-championship,1000,30,27,0,2.142857142857143,1.0214285714285714,capped,30,45,2.8,4.766666666666667,7.566666666666666
11,1007,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,2.533333333333333,4.766666666666667,7.3
11,1008,14,150,reset-on-championship,1000,30,28,0,2.142857142857143,1.0214285714285714,capped,30,45,2.3666666666666663,4.7,7.066666666666666
11,1009,14,150,reset-on-championship,1000,30,28,0,2.142857142857143,1.0214285714285714,capped,30,45,3.8000000000000007,4.566666666666666,8.366666666666667
11,1010,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,2.7666666666666666,4.4,7.166666666666667
11,1011,14,150,reset-on-championship,1000,30,25,0,2.142857142857143,1.0214285714285714,capped,30,45,2.4333333333333336,4.566666666666666,7
11,1012,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,3.533333333333333,4.533333333333333,8.066666666666666
11,1013,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,2.033333333333333,4.666666666666667,6.7
11,1014,14,150,reset-on-championship,1000,30,28,0,2.142857142857143,1.0214285714285714,capped,30,45,1.4000000000000004,4.6,6
11,1015,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,2.333333333333334,4.566666666666666,6.9
11,1016,14,150,reset-on-championship,1000,30,26,0,2.142857142857143,1.0214285714285714,capped,30,45,2.9333333333333327,4.633333333333334,7.566666666666666
11,1017,14,150,reset-on-championship,1000,30,23,0,2.142857142857143,1.0214285714285714,capped,30,45,2.466666666666667,4.466666666666667,6.933333333333334
11,1018,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,2.8000000000000007,4.866666666666666,7.666666666666667
11,1019,14,150,reset-on-championship,1000,30,22,0,2.142857142857143,1.0214285714285714,capped,30,45,2.4333333333333336,4.733333333333333,7.166666666666667
11,1020,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,1.5666666666666664,5,6.566666666666666
11,1021,14,150,reset-on-championship,1000,30,27,0,2.142857142857143,1.0214285714285714,capped,30,45,1.5333333333333332,4.8,6.333333333333333
11,1022,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,1.8666666666666671,4.866666666666666,6.733333333333333
11,1023,14,150,reset-on-championship,1000,30,27,0,2.142857142857143,1.0214285714285714,capped,30,45,2.2333333333333334,4.333333333333333,6.566666666666666
11,1024,14,150,reset-on-championship,1000,30,24,0,2.142857142857143,1.0214285714285714,capped,30,45,3.3,4.433333333333334,7.733333333333333
11,1025,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,2.8999999999999995,4.933333333333334,7.833333333333333
11,1026,14,150,reset-on-championship,1000,30,26,0,2.142857142857143,1.0214285714285714,capped,30,45,2.833333333333333,4.666666666666667,7.5
11,1027,14,150,reset-on-championship,1000,30,30,1,2.142857142857143,1.0214285714285714,capped,30,45,3.833333333333333,4.333333333333333,8.166666666666666
11,1028,14,150,reset-on-championship,1000,30,23,0,2.142857142857143,1.0214285714285714,capped,30,45,2.1999999999999993,4.633333333333334,6.833333333333333
11,1029,14,150,reset-on-championship,1000,30,23,0,2.142857142857143,1.0214285714285714,capped,30,45,2.2,4.333333333333333,6.533333333333333
17,1000,22,null,unbounded,1000,30,25,0,18.181818181818183,1.1818181818181819,uncapped,,,2.5666666666666664,4.733333333333333,7.3
17,1001,22,null,unbounded,1000,30,25,0,18.181818181818183,1.1818181818181819,uncapped,,,1.8666666666666671,4.8,6.666666666666667
17,1002,22,null,unbounded,1000,30,30,2,18.181818181818183,1.1818181818181819,uncapped,,,2.4333333333333336,4.7,7.133333333333334
17,1003,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.7,4.733333333333333,7.433333333333334
17,1004,22,null,unbounded,1000,30,30,1,18.181818181818183,1.1818181818181819,uncapped,,,2.333333333333333,4.433333333333334,6.766666666666667
17,1005,22,null,unbounded,1000,30,23,0,18.181818181818183,1.1818181818181819,uncapped,,,2,4.533333333333333,6.533333333333333
17,1006,22,null,unbounded,1000,30,28,0,18.181818181818183,1.1818181818181819,uncapped,,,2.633333333333333,4.966666666666667,7.6
